01:19.205  render           | Fra: 45 | Rendering 50 / 64 samples
01:19.747  render           | Fra: 45 | Rendering 64 / 64 samples
01:20.191  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0045.png'
01:20.197  render           | Time: 00:03.92 (Saving: 00:00.31)
01:20.202  render           | Rendering frame 46
01:20.265  render           | Start rendering: Scene, ViewLayer
01:20.265  render           | Engine: EEVEE
01:20.912  render           | Fra: 46 | Rendering 1 / 64 samples
01:21.793  render           | Fra: 46 | Rendering 25 / 64 samples
01:22.711  render           | Fra: 46 | Rendering 50 / 64 samples
01:23.230  render           | Fra: 46 | Rendering 64 / 64 samples
01:23.723  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0046.png'
01:23.728  render           | Time: 00:03.45 (Saving: 00:00.35)
01:23.731  render           | Rendering frame 47
01:23.858  render           | Start rendering: Scene, ViewLayer
01:23.858  render           | Engine: EEVEE
01:24.758  render           | Fra: 47 | Rendering 1 / 64 samples
01:25.949  render           | Fra: 47 | Rendering 25 / 64 samples
01:27.040  render           | Fra: 47 | Rendering 50 / 64 samples
01:27.651  render           | Fra: 47 | Rendering 64 / 64 samples
01:28.182  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0047.png'
01:28.186  render           | Time: 00:04.32 (Saving: 00:00.39)
01:28.190  render           | Rendering frame 48
01:28.249  render           | Start rendering: Scene, ViewLayer
01:28.249  render           | Engine: EEVEE
01:28.849  render           | Fra: 48 | Rendering 1 / 64 samples
01:29.864  render           | Fra: 48 | Rendering 25 / 64 samples
01:30.913  render           | Fra: 48 | Rendering 50 / 64 samples
01:31.503  render           | Fra: 48 | Rendering 64 / 64 samples
01:31.882  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0048.png'
01:31.884  render           | Time: 00:03.63 (Saving: 00:00.26)
01:31.885  render           | Rendering frame 49
01:31.909  render           | Start rendering: Scene, ViewLayer
01:31.909  render           | Engine: EEVEE
01:34.379  render           | Fra: 49 | Rendering 1 / 64 samples
01:35.203  render           | Fra: 49 | Rendering 25 / 64 samples
01:35.995  render           | Fra: 49 | Rendering 50 / 64 samples
01:36.433  render           | Fra: 49 | Rendering 64 / 64 samples
01:36.892  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0049.png'
01:36.894  render           | Time: 00:04.98 (Saving: 00:00.19)
01:36.895  render           | Rendering frame 50
01:36.920  render           | Start rendering: Scene, ViewLayer
01:36.920  render           | Engine: EEVEE
01:37.996  render           | Fra: 50 | Rendering 1 / 64 samples
01:38.865  render           | Fra: 50 | Rendering 25 / 64 samples
01:39.760  render           | Fra: 50 | Rendering 50 / 64 samples
01:40.246  render           | Fra: 50 | Rendering 64 / 64 samples
01:40.479  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0050.png'
01:40.480  render           | Time: 00:03.55 (Saving: 00:00.15)
01:40.481  render           | Rendering frame 51
01:40.496  render           | Start rendering: Scene, ViewLayer
01:40.496  render           | Engine: EEVEE
01:40.855  render           | Fra: 51 | Rendering 1 / 64 samples
01:41.648  render           | Fra: 51 | Rendering 25 / 64 samples
